,City_Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lat,Lng
34,"nikolskoye,ru",30.2,86.0,75.0,8.95,59.7,30.79
35,"mishkino,ru",21.2,100.0,40.0,6.71,56.22,46.62
36,"nanortalik,gl",31.02,93.0,88.0,22.21,60.14,-45.24
37,"sobolevo,ru",23.64,89.0,76.0,4.99,54.43,31.9
38,"grindavik,is",37.4,74.0,75.0,25.28,63.84,-22.43
39,"paamiut,gl",26.3,100.0,0.0,5.06,61.99,-49.67
41,"vestmannaeyjar,is",40.02,86.0,92.0,22.88,63.44,-20.27
42,"saint-augustin,ca",10.96,78.0,90.0,14.99,45.63,-73.98
43,"novodugino,ru",23.37,89.0,88.0,5.39,55.63,34.3
44,"kodiak,us",21.2,100.0,1.0,6.93,39.95,-94.76
45,"meadow lake,ca",15.05,72.0,80.0,7.4,54.13,-108.44
46,"aktanysh,ru",14.73,88.0,80.0,7.4,55.72,54.06
47,"beringovskiy,ru",2.4,100.0,92.0,22.62,63.05,179.32
48,"sioux lookout,ca",5.0,71.0,90.0,6.93,50.1,-91.92
49,"chumikan,ru",-0.3,65.0,0.0,6.29,54.72,135.31
50,"bridlington,gb",47.46,87.0,0.0,12.75,54.08,-0.19
52,"provideniya,ru",33.9,94.0,92.0,30.49,64.42,-173.23
53,"thompson,ca",-16.61,75.0,90.0,4.7,55.74,-97.86
54,"tasiilaq,gl",23.0,79.0,32.0,5.82,65.61,-37.64
55,"haradok,by",30.2,92.0,90.0,4.47,55.46,29.99
56,"bethel,us",39.2,64.0,1.0,17.22,60.79,-161.76
57,"esso,ru",-10.47,62.0,24.0,3.31,55.93,158.7
58,"terrace,ca",15.8,66.0,5.0,18.34,54.52,-128.61
59,"chulym,ru",12.21,87.0,80.0,9.08,55.09,80.97
60,"coihaique,cl",38.95,75.0,90.0,2.24,-45.58,-72.07
61,"saint-philippe,re",85.24,51.0,0.0,5.82,-21.36,55.77
62,"arraial do cabo,br",75.75,90.0,0.0,20.42,-22.97,-42.02
63,"necochea,ar",57.08,96.0,0.0,10.8,-38.55,-58.74
64,"rawson,ar",52.89,33.0,0.0,16.06,-43.3,-65.11
65,"dunedin,nz",65.49,78.0,20.0,6.4,-45.87,170.5
66,"castro,cl",45.51,93.0,68.0,3.2,-42.48,-73.76
67,"mount gambier,au",73.95,51.0,56.0,7.63,-37.83,140.78
68,"rocha,uy",70.26,83.0,48.0,5.61,-34.48,-54.34
69,"mahebourg,mu",84.2,66.0,75.0,8.05,-20.41,57.7
70,"swellendam,za",63.51,80.0,32.0,4.32,-34.02,20.44
71,"luderitz,na",64.4,72.0,8.0,9.17,-26.65,15.16
72,"gawler,au",84.2,30.0,0.0,11.41,-34.6,138.75
73,"geraldton,au",84.2,51.0,0.0,17.22,-28.77,114.6
74,"collie,au",84.53,29.0,0.0,13.04,-33.36,116.15
75,"swan hill,au",88.58,37.0,76.0,10.54,-35.34,143.56
76,"constitucion,cl",57.21,72.0,0.0,15.61,-35.33,-72.42
77,"mildura,au",92.13,31.0,0.0,13.11,-34.18,142.16
78,"ahipara,nz",67.65,87.0,88.0,16.4,-35.17,173.16
79,"souillac,mu",84.2,66.0,75.0,8.05,-20.52,57.52
81,"nelson bay,au",82.4,54.0,8.0,17.22,-32.72,152.14
82,"rio grande,br",72.06,97.0,24.0,9.42,-32.03,-52.1
83,"jamestown,sh",66.75,100.0,100.0,15.35,-15.94,-5.72
84,"lincoln,ar",67.74,57.0,56.0,14.79,-34.87,-61.53
85,"santa vitoria do palmar,br",70.53,93.0,68.0,10.58,-33.52,-53.37
86,"margate,za",74.45,95.0,0.0,9.91,-30.86,30.37
87,"russell,nz",64.86,92.0,92.0,13.27,-35.26,174.12
88,"lebu,cl",54.06,99.0,0.0,19.6,-37.62,-73.65
89,"port lincoln,au",79.17,57.0,100.0,3.09,-34.72,135.86
90,"port macquarie,au",86.0,58.0,20.0,10.29,-31.43,152.91
91,"east london,za",73.4,78.0,40.0,12.75,-33.02,27.91
92,"junin,ar",70.4,67.0,76.0,9.91,-34.58,-60.94
93,"bambous virieux,mu",84.2,66.0,75.0,8.05,-20.34,57.76
94,"longyearbyen,sj",28.4,79.0,40.0,13.87,78.22,15.64
96,"tuktoyaktuk,ca",16.05,100.0,90.0,16.11,69.44,-133.03
98,"khatanga,ru",-26.22,41.0,24.0,3.83,71.98,102.47
99,"dikson,ru",-3.9,79.0,8.0,26.69,73.51,80.55
100,"saskylakh,ru",-16.28,72.0,44.0,6.06,71.97,114.09
101,"chokurdakh,ru",-3.36,76.0,80.0,13.94,70.62,147.9
102,"qaanaaq,gl",-11.78,93.0,0.0,8.52,77.48,-69.36
103,"yellowknife,ca",-23.81,74.0,20.0,3.36,62.45,-114.38
104,"pevek,ru",-10.92,91.0,88.0,19.19,69.7,170.27
106,"upernavik,gl",8.7,100.0,56.0,7.52,72.79,-56.15
108,"narsaq,gl",37.4,29.0,56.0,21.92,60.91,-46.05
109,"vardo,no",34.62,100.0,12.0,21.61,70.37,31.11
110,"barrow,us",33.3,75.0,90.0,10.29,39.51,-90.4
112,"cherskiy,ru",-30.99,52.0,24.0,3.6,68.75,161.3
114,"mehamn,no",30.84,88.0,32.0,14.94,71.03,27.85
115,"ilulissat,gl",15.8,43.0,56.0,10.29,69.22,-51.1
116,"biltine,td",66.39,44.0,12.0,5.99,14.53,20.93
117,"filingue,ne",60.81,25.0,48.0,13.44,14.35,3.32
118,"hilo,us",58.98,64.0,75.0,16.11,19.71,-155.08
120,"chai nat,th",87.9,47.0,0.0,4.99,15.18,100.13
121,"constitucion,mx",48.84,75.0,48.0,3.83,23.99,-104.67
122,"port blair,in",81.87,100.0,0.0,17.47,11.67,92.75
123,"non sung,th",86.0,51.0,0.0,6.93,15.18,102.26
124,"palauig,ph",86.78,69.0,44.0,10.13,15.44,119.9
125,"morant bay,jm",78.8,74.0,20.0,6.93,17.88,-76.41
126,"cabo san lucas,mx",60.8,63.0,20.0,11.41,22.89,-109.91
127,"butaritari,ki",83.22,99.0,56.0,19.37,3.07,172.79
128,"sur,om",75.03,85.0,0.0,8.08,22.57,59.53
129,"cayenne,gf",78.8,88.0,88.0,1.12,4.94,-52.33
130,"kavieng,pg",85.38,100.0,32.0,7.85,-2.57,150.8
131,"sao filipe,cv",73.14,97.0,92.0,20.65,14.9,-24.5
132,"bathsheba,bb",79.89,100.0,88.0,20.6,13.22,-59.52
133,"sal rei,cv",69.8,60.0,75.0,23.04,16.18,-22.92
134,"pointe michel,dm",80.25,91.0,36.0,18.92,15.25,-61.38
136,"san patricio,mx",68.64,90.0,76.0,2.98,19.22,-104.7
137,"salalah,om",80.6,19.0,0.0,16.11,17.01,54.1
138,"gualan,gt",66.08,100.0,76.0,2.26,15.12,-89.36
139,"ayorou,ne",57.35,22.0,0.0,12.44,14.73,0.92
140,"kapaa,us",65.59,82.0,20.0,8.05,22.08,-159.32
141,"salina cruz,mx",68.64,88.0,8.0,2.82,16.18,-95.2
142,"porto novo,cv",71.6,64.0,40.0,20.8,17.02,-25.06
144,"le lorrain,mq",77.0,83.0,0.0,4.7,14.83,-61.06
145,"guerrero negro,mx",43.76,92.0,0.0,5.88,27.97,-114.04
146,"ouallam,ne",59.73,24.0,0.0,12.77,14.32,2.08
147,"avanigadda,in",82.4,61.0,0.0,5.82,16.02,80.92
148,"hermanus,za",62.03,77.0,12.0,4.38,-34.42,19.24
149,"ndele,cf",75.8,65.0,68.0,2.98,8.41,20.65
150,"iseyin,ng",69.95,97.0,8.0,3.6,7.97,3.6
151,"atuona,pf",79.71,100.0,20.0,9.13,-9.8,-139.03
152,"ranot,th",77.06,99.0,92.0,11.43,7.78,100.32
153,"yaring,th",78.8,88.0,90.0,12.75,6.87,101.37
154,"balabac,ph",76.43,100.0,92.0,27.42,7.99,117.06
155,"caucasia,co",80.25,72.0,76.0,5.28,7.98,-75.2
156,"kavaratti,in",82.05,100.0,0.0,4.88,10.57,72.64
157,"carutapera,br",80.7,78.0,88.0,8.57,-1.2,-46.02
158,"mana,gf",76.16,86.0,80.0,2.98,5.67,-53.78
159,"bubaque,gw",66.2,34.0,68.0,11.41,11.28,-15.83
160,"upata,ve",71.75,86.0,12.0,6.89,8.02,-62.41
161,"sinnamary,gf",76.29,100.0,68.0,10.76,5.38,-52.96
162,"gambela,et",73.95,39.0,0.0,5.77,8.25,34.59
163,"lazaro cardenas,mx",37.14,46.0,8.0,9.08,28.39,-105.62
164,"bandarbeyla,so",77.73,97.0,0.0,28.88,9.49,50.81
165,"santa cruz,cr",78.8,69.0,0.0,18.34,10.26,-85.58
167,"atakpame,tg",62.93,88.0,8.0,3.27,7.53,1.13
169,"champerico,gt",74.13,100.0,8.0,4.76,14.3,-91.92
171,"mabaruma,gy",71.03,100.0,92.0,5.61,8.2,-59.78
172,"savalou,bj",68.73,98.0,48.0,2.98,7.93,1.98
173,"eravur,lk",81.56,92.0,48.0,10.13,7.77,81.61
174,"methoni,gr",46.4,70.0,90.0,13.87,36.82,21.7
175,"medea,dz",51.8,93.0,75.0,2.24,36.27,2.77
176,"fortuna,us",43.32,86.0,20.0,3.53,40.6,-124.16
177,"tomioka,jp",43.8,27.0,0.0,3.2,36.26,138.87
178,"xining,cn",34.08,25.0,12.0,16.28,36.62,101.77
179,"pacific grove,us",42.26,60.0,1.0,2.37,36.62,-121.92
180,"korla,cn",26.03,61.0,0.0,2.26,41.76,86.15
181,"pingyin,cn",48.71,49.0,92.0,4.54,36.28,116.45
182,"hasaki,jp",54.7,37.0,0.0,3.36,35.73,140.83
183,"elizabeth city,us",52.95,100.0,90.0,3.36,36.3,-76.22
184,"saint george,us",36.39,93.0,90.0,11.41,38.54,-90.31
185,"severo-kurilsk,ru",26.07,100.0,36.0,11.36,50.68,156.12
186,"dawlatabad,af",52.76,55.0,12.0,4.38,36.41,64.91
187,"ribeira grande,pt",64.91,98.0,0.0,11.43,38.52,-28.7
189,"vila franca do campo,pt",62.6,82.0,20.0,8.05,37.72,-25.43
190,"torbay,ca",23.0,79.0,20.0,14.99,47.66,-52.73
191,"saint-pierre,pm",33.05,100.0,36.0,18.7,46.77,-56.17
192,"ponta do sol,pt",62.6,67.0,75.0,8.05,32.67,-17.1
193,"saint george,bm",66.2,63.0,40.0,10.29,32.38,-64.68
194,"erdemli,tr",51.05,100.0,88.0,1.48,36.61,34.31
195,"ahuimanu,us",69.33,64.0,75.0,13.87,21.44,-157.84
196,"bloomfield,us",37.51,100.0,90.0,4.7,40.81,-74.19
197,"damghan,ir",42.9,86.0,0.0,0.85,36.17,54.34
198,"dyersburg,us",44.96,100.0,90.0,9.17,36.03,-89.39
199,"tottori,jp",52.56,50.0,75.0,12.75,35.5,134.23
200,"sidi ali,dz",39.39,90.0,0.0,2.75,36.1,0.42
201,"tahlequah,us",33.12,100.0,90.0,10.29,35.92,-94.97
202,"kumluca,tr",38.13,93.0,48.0,1.59,36.37,30.29
203,"ukiah,us",41.0,80.0,1.0,2.53,39.15,-123.21
204,"leh,in",-14.43,65.0,48.0,1.52,34.16,77.58
205,"suluq,ly",54.38,98.0,92.0,17.18,31.67,20.25
207,"shimoda,jp",55.4,100.0,75.0,4.7,34.7,138.93
209,"lompoc,us",39.81,41.0,1.0,3.98,34.64,-120.46
210,"half moon bay,us",46.99,100.0,1.0,3.87,37.46,-122.43
212,"linqiong,cn",60.8,48.0,32.0,4.47,30.42,103.46
214,"katsuura,jp",50.0,61.0,75.0,8.05,33.93,134.5
215,"havelock,us",51.22,100.0,90.0,8.05,34.88,-76.9
218,"ashqelon,il",70.52,39.0,0.0,6.93,31.67,34.57
219,"kahului,us",67.48,73.0,40.0,13.87,20.89,-156.47
220,"puerto palomas,mx",26.6,63.0,1.0,3.36,31.77,-107.62
221,"taft,ir",62.6,25.0,40.0,6.93,31.75,54.22
222,"laurel,us",69.8,100.0,75.0,4.7,31.69,-89.13
223,"muroto,jp",55.4,43.0,75.0,2.24,33.37,134.14
225,"jacksonville,us",55.69,100.0,75.0,3.98,30.33,-81.66
226,"rosetta,eg",62.6,77.0,40.0,14.99,31.4,30.42
227,"dharchula,in",41.51,65.0,0.0,1.48,29.85,80.53
228,"bambari,cf",69.18,79.0,0.0,2.86,5.77,20.68
229,"lagos,ng",73.4,94.0,20.0,2.24,6.46,3.39
230,"gurun,my",81.1,74.0,75.0,9.17,5.82,100.48
231,"sabang,id",84.39,98.0,0.0,17.4,1.17,120.82
232,"tanah merah,my",80.6,88.0,90.0,8.05,5.81,102.15
233,"ranau,my",69.99,96.0,92.0,0.25,5.95,116.67
234,"vanimo,pg",83.85,100.0,8.0,7.9,-2.67,141.3
235,"sonson,co",57.2,100.0,40.0,1.03,5.71,-75.31
236,"ugoofaaru,mv",82.73,99.0,92.0,17.07,5.67,73.0
237,"iracoubo,gf",75.84,89.0,92.0,4.54,5.48,-53.21
239,"ixtapa,mx",71.6,100.0,5.0,2.19,20.71,-105.21
240,"eyl,so",77.96,83.0,24.0,25.12,7.98,49.82
241,"kloulklubed,pw",87.73,62.0,40.0,3.36,7.04,134.26
243,"puerto ayora,ec",70.17,100.0,24.0,7.85,-0.74,-90.35
244,"jardim,br",74.22,96.0,92.0,11.14,-21.48,-56.15
246,"makakilo city,us",69.39,64.0,1.0,5.82,21.35,-158.09
247,"bartica,gy",74.45,94.0,92.0,2.48,6.41,-58.62
248,"namatanai,pg",82.68,100.0,56.0,6.06,-3.66,152.44
249,"cotonou,bj",73.4,88.0,40.0,2.24,6.37,2.43
250,"cururupu,br",79.98,79.0,48.0,8.12,-1.82,-44.87
251,"hambantota,lk",82.68,94.0,8.0,13.15,6.12,81.12
252,"paracuru,br",78.8,88.0,75.0,10.29,-3.41,-39.03
253,"grobina,lv",41.0,86.0,48.0,13.87,56.54,21.17
254,"varhaug,no",48.2,93.0,90.0,14.99,58.61,5.65
255,"itatskiy,ru",15.18,85.0,92.0,7.74,56.07,89.04
256,"shadrinsk,ru",8.66,79.0,80.0,13.38,56.09,63.63
257,"zubtsov,ru",23.06,87.0,88.0,5.77,56.17,34.59
258,"sigayevo,ru",14.37,89.0,76.0,4.76,56.42,53.78
259,"scarborough,gb",44.1,87.0,12.0,12.75,54.28,-0.41
260,"novosokolniki,ru",26.48,89.0,64.0,8.9,56.35,30.15
261,"bakchar,ru",10.14,75.0,80.0,4.99,57.02,82.07
262,"kalabo,zm",71.61,94.0,0.0,7.29,-15.0,22.67
263,"alyangula,au",87.27,94.0,76.0,15.35,-13.85,136.42
266,"port hedland,au",95.0,53.0,0.0,16.11,-20.31,118.58
267,"mareeba,au",84.2,62.0,40.0,14.99,-16.99,145.42
269,"luganville,vu",82.55,97.0,64.0,10.13,-15.51,167.18
270,"grand gaube,mu",84.2,66.0,75.0,8.05,-20.01,57.66
271,"monte azul,br",65.36,92.0,24.0,8.9,-15.15,-42.87
272,"samarai,pg",83.18,100.0,56.0,11.65,-10.62,150.67
273,"maragogi,br",78.36,81.0,92.0,8.12,-9.01,-35.22
274,"rubiataba,br",68.28,94.0,92.0,2.82,-15.16,-49.8
275,"barra do garcas,br",69.41,99.0,64.0,3.2,-15.89,-52.26
276,"georgetown,sh",74.13,100.0,76.0,15.39,-7.93,-14.42
278,"mozarlandia,br",72.06,90.0,32.0,1.59,-14.74,-50.57
279,"ntcheu,mw",74.0,86.0,36.0,4.05,-14.82,34.64
280,"faanui,pf",83.18,100.0,20.0,12.1,-16.48,-151.75
282,"antalaha,mg",80.34,81.0,12.0,1.36,-14.9,50.28
283,"huarmey,pe",58.7,85.0,8.0,3.09,-10.07,-78.15
285,"kirakira,sb",85.74,100.0,0.0,4.83,-10.46,161.92
287,"conde,br",75.75,100.0,92.0,6.89,-11.81,-37.61
288,"luangwa,zm",65.9,100.0,88.0,5.61,-12.88,28.25
291,"hithadhoo,mv",82.41,100.0,0.0,5.39,-0.6,73.08
292,"kruisfontein,za",63.78,97.0,88.0,14.83,-34.0,24.73
294,"namibe,ao",68.33,100.0,92.0,5.73,-15.19,12.15
295,"nhulunbuy,au",87.8,66.0,40.0,11.41,-12.18,136.78
296,"labuhan,id",86.91,67.0,44.0,4.5,-2.54,115.51
297,"praya,id",87.8,66.0,40.0,12.75,-8.71,116.27
298,"daru,pg",83.45,90.0,32.0,10.8,-9.07,143.21
299,"perene,pe",67.16,100.0,92.0,2.04,-10.95,-75.23
301,"victoria,sc",78.8,78.0,75.0,18.34,-4.62,55.45
302,"xique-xique,br",70.85,90.0,0.0,9.86,-10.82,-42.73
303,"gizo,sb",84.84,100.0,32.0,5.21,-8.1,156.84
304,"olinda,br",75.79,88.0,75.0,3.36,-22.82,-43.41
306,"alta floresta,br",72.42,99.0,24.0,2.08,-9.87,-56.08
308,"liuli,tz",77.82,100.0,0.0,5.73,-11.1,34.65
309,"sola,vu",80.79,99.0,92.0,7.52,-13.88,167.55
310,"sambava,mg",80.21,100.0,12.0,2.59,-14.27,50.17
312,"san cristobal,ec",61.35,100.0,68.0,0.69,-1.02,-79.44
313,"maningrida,au",86.37,70.0,56.0,20.65,-12.05,134.23
314,"luwingu,zm",70.08,90.0,20.0,2.71,-10.26,29.92
316,"pimenta bueno,br",71.21,97.0,44.0,2.08,-11.68,-61.19
317,"honiara,sb",86.0,66.0,40.0,3.36,-9.43,159.96
318,"jacobina,br",68.1,79.0,44.0,8.3,-11.19,-40.51
319,"aklavik,ca",12.2,85.0,5.0,5.82,68.22,-135.01
320,"talnakh,ru",-29.73,0.0,0.0,3.87,69.49,88.39
321,"komsomolskiy,ru",20.94,91.0,64.0,10.92,67.55,63.78
322,"berlevag,no",30.21,100.0,8.0,15.17,70.86,29.09
323,"bongandanga,cd",72.83,96.0,68.0,3.31,1.51,21.07
324,"yenagoa,ng",75.08,94.0,76.0,5.77,4.92,6.26
325,"biak,id",86.33,84.0,8.0,3.2,-0.91,122.88
326,"rantauprapat,id",84.84,61.0,64.0,3.6,2.1,99.83
327,"banda aceh,id",80.52,86.0,64.0,4.88,5.56,95.32
329,"bontang,id",85.83,90.0,32.0,7.0,0.12,117.47
330,"el paujil,co",65.76,94.0,24.0,2.04,1.57,-75.33
331,"kudahuvadhoo,mv",79.58,100.0,68.0,8.08,2.67,72.89
332,"touros,br",77.1,96.0,68.0,10.42,-5.2,-35.46
333,"amapa,br",72.33,100.0,68.0,3.76,-1.83,-56.23
334,"camopi,gf",71.66,99.0,92.0,2.3,3.17,-52.33
336,"boa vista,br",77.0,83.0,40.0,8.05,2.82,-60.67
337,"kapchorwa,ug",69.63,70.0,0.0,1.59,1.4,34.45
339,"acapulco,mx",77.0,94.0,40.0,4.05,16.86,-99.88
341,"puerto baquerizo moreno,ec",71.3,100.0,56.0,8.57,-0.9,-89.6
342,"manokwari,id",83.0,100.0,20.0,3.38,-0.87,134.08
343,"winneba,gh",77.0,61.0,68.0,6.93,5.35,-0.62
344,"buala,sb",84.53,82.0,56.0,3.76,-8.15,159.59
345,"bunia,cd",71.25,75.0,12.0,4.21,1.56,30.25
347,"anloga,gh",69.8,94.0,20.0,4.7,5.79,0.9
348,"camocim,br",77.96,83.0,88.0,10.31,-2.9,-40.84
349,"matara,lk",81.96,100.0,8.0,2.48,5.95,80.54
350,"ventspils,lv",35.6,93.0,90.0,8.05,57.39,21.56
351,"visnes,no",48.2,100.0,75.0,21.92,59.36,5.22
352,"kodinsk,ru",7.44,68.0,56.0,7.29,58.6,99.18
353,"fort nelson,ca",10.4,85.0,40.0,5.82,58.81,-122.69
354,"juneau,us",22.93,100.0,1.0,2.53,58.3,-134.42
355,"teguldet,ru",10.77,79.0,88.0,3.53,57.31,88.17
356,"ust-ilimsk,ru",7.76,66.0,68.0,7.85,57.96,102.73
357,"kropotkin,ru",22.16,92.0,88.0,6.33,45.43,40.58
358,"okhotsk,ru",-26.13,100.0,0.0,7.63,59.36,143.24
359,"slave lake,ca",17.6,85.0,90.0,21.92,55.28,-114.77
360,"ossora,ru",-17.45,100.0,0.0,5.1,59.24,163.07
361,"turinsk,ru",13.38,82.0,64.0,6.85,58.04,63.7
362,"tigil,ru",-1.74,58.0,12.0,6.73,57.8,158.67
363,"krasnomayskiy,ru",17.6,72.0,90.0,8.95,55.0,82.52
364,"tilichiki,ru",-34.41,0.0,0.0,2.75,60.47,166.1
365,"kez,ru",14.33,88.0,64.0,4.76,57.9,53.72
366,"ust-maya,ru",-40.44,0.0,68.0,3.09,60.42,134.54
367,"peterhead,gb",55.4,71.0,56.0,14.99,57.51,-1.8
368,"dno,ru",26.52,86.0,64.0,6.73,57.83,29.97
369,"parabel,ru",14.96,83.0,68.0,4.27,58.71,81.5
370,"ilebo,cd",71.48,100.0,100.0,1.7,-4.33,20.59
371,"port-gentil,ga",78.8,94.0,75.0,2.24,-0.72,8.78
372,"meulaboh,id",82.23,100.0,80.0,1.7,4.14,96.13
373,"martapura,id",91.4,59.0,40.0,11.41,-3.41,114.85
374,"ambunti,pg",89.3,64.0,12.0,2.53,-4.22,142.82
375,"lagunas,pe",77.37,84.0,32.0,2.75,-5.23,-75.68
376,"auki,sb",82.95,100.0,8.0,2.75,-8.77,160.7
377,"barras,br",70.35,97.0,24.0,3.04,-4.24,-42.29
378,"arawa,pg",78.05,100.0,76.0,4.27,-6.23,155.57
379,"cabedelo,br",77.0,88.0,75.0,3.36,-6.97,-34.84
380,"tucurui,br",72.38,98.0,88.0,1.81,-3.77,-49.67
381,"altamira,br",73.14,97.0,88.0,2.19,-3.2,-52.21
382,"anori,br",71.52,98.0,92.0,2.86,-3.74,-61.66
383,"kiomboi,tz",72.78,74.0,8.0,3.98,-4.28,34.41
386,"nabire,id",79.13,79.0,80.0,2.75,-3.36,135.5
387,"rutana,bi",65.13,92.0,76.0,1.3,-3.93,29.99
388,"manacapuru,br",72.51,100.0,56.0,3.2,-3.3,-60.62
389,"kieta,pg",78.05,100.0,76.0,4.27,-6.22,155.63
390,"ibiapina,br",69.99,98.0,80.0,2.86,-3.92,-40.89
391,"kobylka,pl",35.6,100.0,75.0,9.17,52.34,21.2
392,"goedereede,nl",49.1,81.0,92.0,24.16,51.82,3.98
393,"mago,ru",-3.23,50.0,0.0,5.28,53.27,140.15
394,"orlik,ru",0.69,58.0,44.0,2.71,52.51,99.83
395,"quesnel,ca",-7.61,76.0,20.0,2.19,52.98,-122.49
396,"tashtyp,ru",24.09,73.0,92.0,9.01,52.8,89.89
397,"kyren,ru",6.41,61.0,8.0,2.37,51.68,102.13
398,"nerchinsk,ru",8.7,61.0,24.0,3.87,51.98,116.59
399,"nogliki,ru",5.82,100.0,0.0,7.9,51.8,143.14
400,"ponoka,ca",14.94,72.0,90.0,14.99,52.68,-113.59
401,"qostanay,kz",10.4,92.0,90.0,11.18,53.17,63.58
402,"oktyabrskiy,ru",24.8,92.0,90.0,8.95,55.61,37.97
403,"bonavista,ca",29.9,100.0,32.0,12.55,48.65,-53.11
404,"dingle,ie",51.18,94.0,92.0,13.15,52.14,-10.27
405,"lokot,ru",22.74,92.0,92.0,4.05,52.57,34.57
406,"biggar,ca",13.83,86.0,48.0,13.94,52.06,-107.98
407,"novosergiyevka,ru",16.13,87.0,76.0,6.89,52.08,53.65
409,"norwich,gb",48.2,93.0,75.0,13.87,52.63,1.29
410,"lac du bonnet,ca",1.68,68.0,48.0,7.56,50.25,-96.06
412,"petropavlovsk-kamchatskiy,ru",3.2,77.0,20.0,6.71,53.05,158.65
413,"kitimat,ca",15.8,66.0,5.0,18.34,54.02,-128.69
414,"lowestoft,gb",48.2,93.0,75.0,13.87,52.48,1.75
415,"novichikha,ru",17.07,84.0,92.0,12.03,52.2,81.39
416,"la montanita,co",73.95,85.0,64.0,2.48,1.48,-75.44
417,"thinadhoo,mv",81.96,100.0,0.0,4.05,0.53,72.93
418,"tshikapa,cd",72.38,97.0,64.0,2.82,-6.42,20.79
419,"gamba,ga",77.06,100.0,44.0,6.89,-2.72,10.02
420,"merauke,id",88.85,70.0,56.0,4.54,-8.49,140.4
421,"padang,id",77.28,100.0,88.0,6.89,-0.92,100.36
422,"mataram,id",79.8,88.0,80.0,3.2,-5.32,105.06
423,"mendi,pg",59.51,98.0,92.0,2.86,-6.14,143.66
424,"contamana,pe",75.75,90.0,12.0,2.19,-7.35,-75.01
425,"oeiras,br",70.58,88.0,64.0,4.88,-7.01,-42.13
427,"pitimbu,br",77.0,88.0,75.0,3.36,-7.47,-34.81
428,"sao geraldo do araguaia,br",71.97,96.0,12.0,2.86,-6.4,-48.55
429,"sao felix do xingu,br",71.79,100.0,64.0,2.19,-6.64,-51.99
430,"manicore,br",73.86,98.0,20.0,2.3,-5.81,-61.3
432,"tual,id",82.73,100.0,76.0,8.63,-5.67,132.75
433,"omboue,ga",79.8,100.0,36.0,3.71,-1.57,9.26
434,"karema,tz",68.64,92.0,76.0,2.98,-6.82,30.44
435,"lufilufi,ws",83.58,100.0,68.0,15.12,-13.87,-171.6
436,"pio ix,br",71.61,79.0,36.0,9.08,-6.83,-40.61
437,"skjervoy,no",34.4,100.0,88.0,6.22,70.03,20.97
438,"sorland,no",30.2,86.0,20.0,11.41,67.67,12.69
439,"norman wells,ca",10.4,92.0,75.0,2.24,65.28,-126.83
440,"deputatskiy,ru",-34.46,0.0,44.0,2.82,69.3,139.9
441,"srednekolymsk,ru",-16.86,74.0,80.0,5.99,67.46,153.71
443,"roald,no",44.6,81.0,75.0,12.75,62.58,6.12
444,"lavrentiya,ru",32.64,90.0,92.0,33.24,65.58,-170.99
